symbol,date,open,high,low,close,volume,prev_close,gap,run,dollar_vol,advol20,rvol
BULL,2025-04-14,27.64,79.56,26.02,62.9,36885308.0,13.25,1.0860377358490565,5.0045283018867925,2320085873.2,303890.8,121.37684984211434
BULL,2025-04-16,40.41,52.6862,34.5001,36.22,9312710.0,40.9,-0.011980440097799527,0.28817114914425423,337306356.2,2732334.9,3.4083340223045133
BULL,2025-07-18,14.65,17.22,14.3812,16.89,55290987.0,14.43,0.01524601524601521,0.1933471933471933,933864770.4300001,12305553.55,4.493173490761007
BULL,2026-08-20,9.94,9.95,8.82,8.85,50827516.0,8.64,0.1504629629629628,0.15162037037037024,449823516.59999996,9929553.55,5.118811812037611
BWA,2026-02-11,54.999334,68.272983,53.913038,65.574603,14000106.0,53.550939,0.0270470514065122,0.2749166359155719,918051392.907918,2164817.75,6.467106064702214
BZ,2026-08-26,16.77,19.335,16.62,18.84,25679474.0,16.29,0.02946593001841613,0.18692449355432794,483801290.15999997,4413416.0,5.818502946470489
CAI,2025-08-13,39.8,39.8,33.02,34.28,1833409.0,32.46,0.22612446087492288,0.22612446087492288,62849260.52,593180.3,3.090812355029322
CCJ,2025-10-28,100.331681,109.937693,97.806672,106.699095,24708035.0,86.449121,0.16058647953170047,0.27170400032176145,2636324973.728325,4971362.6,4.970072993669784
CEG,2025-01-10,279.67738,306.913476,277.340877,302.151367,14707183.0,241.4122,0.15850557676869692,0.27132545911101413,4443795448.169161,2989999.6,4.918790959035579
CELH,2024-10-10,33.53,35.16,32.25,34.91,30172410.0,30.51,0.09898393969190433,0.1524090462143557,1053318833.0999999,6825905.3,4.420279607453681
CELH,2025-02-19,24.085,26.22,23.99,26.09,25278413.0,22.74,0.059146877748460946,0.15303430079155667,659513795.17,7953191.05,3.1783988138949586
CELH,2025-02-21,34.11,34.44,30.12,32.62,62380468.0,25.53,0.33607520564042304,0.34900117508813144,2034850866.1599998,9771727.2,6.383770926392624
CELH,2025-08-07,51.01,53.0728,49.77,50.12,23737629.0,42.74,0.19349555451567602,0.2417594759007955,1189729965.48,5134502.95,4.623160066545487
CELH,2026-02-26,58.67,59.3095,53.0501,54.12,15333954.0,50.61,0.15925706382137927,0.1718929065402095,829873590.48,4579400.4,3.3484632616968804
CELH,2026-08-07,23.97,27.87,23.82,27.77,33655336.0,23.77,0.008413967185527893,0.17248632730332347,934608680.72,9976456.1,3.3734760783440927
CHRW,2025-07-31,108.283267,113.859654,102.872534,113.037262,6470089.0,95.717036,0.13128520820473377,0.18954429387052918,731361145.456318,1102811.85,5.866901956122433
CHRW,2025-10-30,147.363181,156.316669,146.979038,152.554037,5571970.0,127.436992,0.15636110588674268,0.22661926138369615,850026517.54289,1465458.2,3.8022032972349535
CIEN,2024-12-12,83.67,89.2499,82.0,84.52,11352608.0,73.21,0.14287665619450918,0.21909438601283981,959522428.16,1568327.3,7.238672692874759
CIEN,2025-09-04,115.0,122.0,110.9,116.92,11296480.0,94.82,0.2128242986711666,0.28664838641636803,1320784441.6,1957028.85,5.772260332288918
CIFR,2025-01-31,5.6,6.29,5.5,5.73,43243879.0,4.7,0.1914893617021276,0.3382978723404255,247787426.67000002,10739541.0,4.026604023393551
CIFR,2025-08-29,7.25,8.71,6.95,7.64,70174926.0,7.02,0.03276353276353272,0.24074074074074092,536136434.64,22474002.9,3.122493412154895
CLF,2024-11-06,13.2,14.335,13.075,13.94,41247637.0,11.61,0.1369509043927648,0.23471145564168827,574992059.78,11114992.35,3.710991038153976
CLF,2025-02-10,10.87,12.08,10.84,11.84,62112505.0,10.04,0.08266932270916327,0.20318725099601598,735412059.2,12425793.1,4.998675295824779
CLF,2025-06-02,7.19,7.52,6.96,7.18,119579783.0,5.83,0.23327615780445976,0.2898799313893652,858582841.9399999,29027178.85,4.119579915703727
CLF,2026-07-23,10.67,11.465,10.6,10.96,67421952.0,9.45,0.12910052910052916,0.2132275132275132,738944593.9200001,19677986.6,3.4262627254761924
CLSK,2025-09-18,11.98,13.635,11.83,13.46,64657744.0,11.44,0.0472027972027973,0.19187062937062938,870293234.24,19103435.4,3.3846134292683296
CLSK,2026-07-14,14.685,15.1,12.8,13.45,76378268.0,12.36,0.18810679611650505,0.2216828478964401,1027287704.5999999,18180239.2,4.2011695863715595
CMCSA,2026-06-29,26.681462,26.735723,23.845108,23.894436,135440129.0,22.85855,0.1672421041579628,0.16961587677258616,3236265494.222244,36157859.9,3.745800480852021
CNH,2026-08-03,11.41,12.02,10.7001,10.8,38092536.0,10.25,0.11317073170731717,0.17268292682926822,411399388.8,10979971.6,3.4692745471217794
COIN,2024-11-06,221.479,257.6799,221.11,254.31,35456033.0,193.96,0.14187976902454125,0.3285208290369146,9016823752.23,11481790.45,3.0880230008029805
COIN,2024-11-11,300.305,334.86,296.0,324.24,42437496.0,270.74,0.10920070916746694,0.2368323853143237,13759933703.04,13865345.65,3.0606879245019036
COIN,2025-05-13,231.71,260.42,231.49,256.9,39119016.0,207.22,0.1181835730141878,0.2567319756780235,10049675210.4,7708199.8,5.074987288212223
COIN,2025-06-18,254.0,299.32,251.88,295.29,37434259.0,253.85,0.0005909001378767709,0.17912152846169005,11053962340.11,8527762.05,4.389693190372261
COMP,2025-01-15,6.37,6.845,6.0,6.66,13892862.0,5.58,0.1415770609318996,0.22670250896057342,92526460.92,4439263.95,3.12954177910507
COMP,2025-02-19,8.53,10.25,8.08,10.24,29366133.0,7.98,0.06892230576441083,0.2844611528822054,300709201.92,5409355.8,5.428767137114552
COMP,2026-01-07,11.8,12.58,11.335,11.84,103307157.0,10.83,0.08956602031394278,0.1615881809787627,1223156738.8799999,9537559.7,10.83161314313975
CORZ,2025-06-26,12.39,16.89,11.815,16.36,91955736.0,12.3,0.007317073170731714,0.37317073170731696,1504395840.96,10550766.6,8.71555020466475
CPRI,2025-04-09,12.0,16.65,11.86,16.36,15721218.0,12.48,-0.03846153846153855,0.3341346153846152,257199126.48,5032038.55,3.124224475585546
CPRI,2025-08-06,20.6,21.5,19.609,20.84,12219176.0,18.2,0.13186813186813207,0.18131868131868134,254647627.84,2680805.95,4.558023306386648
CRCL,2026-02-25,73.77,83.35,71.19,83.14,63849858.0,61.37,0.20205312041714185,0.3581554505458693,5308477194.12,11804953.5,5.408734392727595
CRCL,2026-05-04,107.13,119.99,106.9,119.53,32606547.0,99.7,0.07452357071213633,0.20351053159478427,3897460562.91,10611519.35,3.0727500864426167
CRCL,2026-05-11,118.85,134.8,105.36,131.76,49792979.0,113.67,0.045570511128705915,0.18588897686284866,6560722913.04,13711051.05,3.631594603391109
CRDO,2024-12-03,64.445,72.3,64.0,70.69,16634628.0,47.8,0.34822175732217575,0.5125523012552302,1175901853.32,2841582.15,5.8540021445447215
CRDO,2025-06-03,74.95,80.99,71.33,71.92,22645770.0,62.65,0.1963288108539505,0.2927374301675978,1628683778.4,3891321.05,5.819558373370401
CRM,2026-08-27,230.05,254.48,230.05,252.05,55517471.0,205.62,0.118811399669293,0.23762279933858577,13993178565.550001,11895483.65,4.667104981477571
CRWV,2025-05-16,68.075,84.0,67.55,80.3,42983957.0,65.77,0.035046373726623115,0.27717804470123175,3451611747.1,10533683.95,4.080619582287733
CRWV,2025-05-21,89.46,109.49,89.3,107.39,61681570.0,90.24,-0.008643617021276584,0.21332003546099298,6623983802.3,14971863.25,4.119832579956272
CRWV,2026-04-10,93.44,105.9,93.2,102.0,83416527.0,92.0,0.01565217391304352,0.1510869565217392,8508485754.0,23379447.0,3.567942689149149
CRWV,2026-08-12,108.7,111.83,105.44,107.73,87308421.0,90.32,0.20349867139061129,0.23815323294951285,9405736194.33,27848559.95,3.1351143885628456
CSCO,2026-05-14,117.111887,118.915141,113.545229,115.099415,70932274.0,101.490327,0.1539216638842833,0.17168940641998343,8164263242.01971,20604504.6,3.4425614872584704
CSTM,2026-02-18,25.685,27.25,24.91,25.64,5855130.0,23.41,0.09718069201196067,0.1640324647586502,150125533.20000002,1704035.75,3.4360370667106017
CVNA,2024-10-31,47.64,51.878,46.656,49.462,67455770.0,41.462,0.14900390719212764,0.25121798273117535,3336497295.7400002,12983679.25,5.195427944663682
CVNA,2025-07-31,78.047,82.667,76.7,78.034,54420920.0,66.718,0.16980425072694016,0.23905093078329687,4246682071.28,12971545.5,4.19540755571493
CVS,2025-02-12,57.518683,60.840171,57.414293,59.995564,36562085.0,52.194812,0.10200000337198278,0.16563636631165557,2193562910.59094,11458885.35,3.1907191566411823
CYTK,2025-09-02,44.91,50.22,44.91,49.62,13130509.0,35.33,0.27115765638267764,0.4214548542315313,651535856.5799999,1715270.45,7.6550662899836
CYTK,2026-05-05,74.685,80.2,73.065,77.09,18079520.0,66.05,0.1307342922028767,0.21423164269492823,1393750196.8,1670309.4,10.82405451349313
DBX,2026-05-08,27.425,29.1,26.71,28.9,10098396.0,25.13,0.09132510943095906,0.1579785117389576,291843644.4,3365914.9,3.000193498653219
DELL,2026-02-27,136.720343,148.156004,135.466302,147.379693,33475578.0,120.875633,0.13108274684278198,0.2256895812905484,4933620408.637554,8060323.15,4.153131006912545
