symbol,date,gap,atr_pct,entry,exit,reason,exit_min,gross,ret,period
BILI,2025-08-04,0.03197807217907722,0.040576257912941324,22.5212,22.435,eod,945,0.003842210831290549,0.0024422108312905488,IS
BMNR,2025-08-04,0.04166665219482524,0.18774734021500436,31.87073976504979,31.12086,eod,945,0.024095727593960836,0.022695727593960838,IS
IONQ,2025-08-06,0.03760114231318412,0.06355052016046782,41.38,41.23,eod,945,0.003638127577007211,0.0022381275770072106,IS
CRCL,2025-08-07,0.03691793952136546,0.09384206295219838,163.49,152.93,eod,945,0.06905119989537689,0.06765119989537689,IS
EXK,2025-08-07,0.030476190476190546,0.04891020408163269,5.33,5.4,eod,945,-0.012962962962963065,-0.014362962962963065,IS
AAOI,2025-08-08,0.0736677115987463,0.08958927771735657,22.455,21.59,eod,945,0.040064844835572044,0.038664844835572046,IS
RKLB,2025-08-08,0.07532232526577687,0.06026416130804276,46.21,44.69,eod,945,0.03401208324009852,0.032612083240098524,IS
TEM,2025-08-08,0.09295199182839631,0.05861155698234349,62.3,60.87,eod,945,0.023492689337933248,0.02209268933793325,IS
RIOT,2025-08-11,0.041516245487364545,0.08383831872099022,11.3301,11.11,eod,945,0.019810981098109748,0.01841098109810975,IS
COIN,2025-08-12,0.030442400350416232,0.06010094576595421,317.5201,322.62,eod,945,-0.015807761453102698,-0.017207761453102696,IS
SBET,2025-08-12,0.0745466756212223,0.14226134510217783,22.77,22.47,eod,945,0.013351134846461887,0.011951134846461887,IS
JOBY,2025-08-15,0.08750719631548654,0.0842737889629081,17.11,16.63,eod,945,0.028863499699338657,0.02746349969933866,IS
BMNR,2025-09-05,0.03934582547381238,0.11623082740938553,43.14732816650808,42.027657,eod,945,0.026641294005708804,0.025241294005708806,IS
BTDR,2025-09-05,0.04912572855953368,0.0944343999048412,12.364,12.35,eod,945,0.0011336032388664652,-0.0002663967611335348,IS
HMY,2025-09-05,0.05353321078146345,0.060895277289435,13.843363674698796,13.77017,eod,945,0.005315379163713718,0.003915379163713718,IS
SMR,2025-09-05,0.04496253122397986,0.08346100471829036,36.26,34.53,eod,945,0.05010136113524455,0.04870136113524455,IS
APLD,2025-09-09,0.061826024442846794,0.0821947211666838,14.06,14.763000000000002,stop,810,-0.04761904761904767,-0.04901904761904767,IS
BMNR,2025-09-09,0.034026044139061185,0.10397498008101101,43.69716631278027,44.586905,eod,945,-0.019955156950672737,-0.021355156950672735,IS
ASTS,2025-09-10,0.03224058520726114,0.09062991059333517,37.13,37.58,eod,945,-0.011974454497072795,-0.013374454497072795,IS
JOBY,2025-09-10,0.06929955290611023,0.05470938897168407,13.725,13.26,eod,945,0.03506787330316752,0.03366787330316752,IS
SMR,2025-09-10,0.03169213355970557,0.08561605626970657,35.7401,34.31,eod,945,0.04168172544447679,0.04028172544447679,IS
JOBY,2025-09-12,0.07821637426900585,0.05648913951545531,14.315,14.0,eod,945,0.022499999999999964,0.021099999999999966,IS
